Level,Song,Score,Performance,Difficulty,Details_Number
☆12,murmur twins(ANOTHER),894,AA79.04%(AA + 30),HARD,1878
☆12,n/a(ANOTHER),,,,0
☆12,Necroxis Girl(ANOTHER),1041,A73.06%(AA - 143),FAILED,2199
☆12,NEMESIS(ANOTHER),1183,C50.26%(B - 145),FAILED,1374
☆12,neu(ANOTHER),872,A72.99%(AA - 192),FAILED,2918
☆12,New Castle Legions(ANOTHER),1301,B63.01%(A - 116),EASY,2000
☆12,NEW GENERATION -もう、お前しか見えない-(LEGGENDARIA),603,B65.02%(A - 61),EASY,2385
☆12,Night sky(ANOTHER),796,AA79.72%(AA + 65),CLEAR,2666
☆12,Night! Night! Night!(ANOTHER),759,AA79.41%(AA + 48),HARD,2360
☆12,Nightmare before oversleep(ANOTHER),925,AA81.36%(AA + 113),HARD,2571
☆12,NINJA IS DEAD IIDX ver.(ANOTHER),964,AA80.97%(AA + 95),HARD,2429
☆12,NITROUS CANNON(ANOTHER),974,A70.92%(A + 157),EASY,2627
☆12,NNRT(ANOTHER),669,AA77.8%(AA + 0),HARD,3045
☆12,No Border(ANOTHER),746,A74.37%(AA - 133),EASY,2905
☆12,No.13(ANOTHER),783,A75.72%(AA - 68),EASY,2482
☆12,NZM(ANOTHER),862,A75.53%(AA - 80),EASY,2692
☆12,O/D*20(LEGGENDARIA),315,A71.99%(A + 218),EASY,2950
☆12,ONE AND ONLY(ANOTHER),568,A75.06%(AA - 90),HARD,2471
☆12,One for All(ANOTHER),961,A75.45%(AA - 73),EASY,2345
☆12,One More Lovely(ANOTHER),830,A76.24%(AA - 48),EASY,2374
☆12,one or eight(LEGGENDARIA),953,A73.77%(AA - 115),EASY,2104
☆12,ONIGOROSHI(ANOTHER),619,AA77.98%(AA + 6),HARD,2344
☆12,op.31 叙情(ANOTHER),467,A70.45%(A + 65),HARD,1209
☆12,oratio(ANOTHER),1115,A75.53%(AA - 64),HARD,2124
☆12,ORCA(ANOTHER),455,A73.87%(AA - 140),FAILED,2643
☆12,OTENAMI Hurricane(ANOTHER),864,A72.66%(AA - 179),EASY,2533
☆12,OTOKOZAKA(ANOTHER),381,AA77.89%(AA + 3),HARD,2575
☆12,Ou Legends(ANOTHER),421,A73.81%(AA - 135),EASY,2511
☆12,Out of Control(ANOTHER),511,A71.19%(A + 149),EASY,2348
☆12,Override(LEGGENDARIA),,,,0
☆12,Painful Fate(ANOTHER),840,A72.36%(AA - 182),EASY,2427
☆12,Papilio ulysses(ANOTHER),1512,A68.97%(A + 67),EASY,2003
☆12,PARADISE LOST(ANOTHER),703,A74.42%(AA - 123),FAILED,2709
☆12,PARANOiA ～HADES～(ANOTHER),1027,B56.56%(B + 30),FAILED,1733
☆12,Parvati(ANOTHER),554,AA82.48%(AA + 134),HARD,2359
☆12,Peaktime Booster(ANOTHER),722,A72.74%(AA - 159),EASY,2287
☆12,perditus†paradisus(ANOTHER),947,B57.02%(B + 61),FAILED,2405
☆12,Persephone(ANOTHER),811,AA80.74%(AA + 93),HARD,2540
☆12,Phoenix(LEGGENDARIA),,,,0
☆12,Plan 8(ANOTHER),834,A74.48%(AA - 105),EASY,2349
☆12,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.(ANOTHER),545,A74.81%(AA - 133),EASY,3344
☆12,POODLE(LEGGENDARIA),754,AA82.43%(AA + 167),HARD,2961
☆12,POSSESSION(ANOTHER),964,A73.87%(AA - 134),FAILED,2528
☆12,Primitive Vibes(ANOTHER),477,AA84.52%(AAA - 135),HARD,2593
☆12,Proof of the existence(ANOTHER),1005,A76.25%(AA - 47),EASY,2324
☆12,PUNISHER(ANOTHER),1434,A70.36%(A + 135),EASY,2575
☆12,Purple Perplex(ANOTHER),811,A75.58%(AA - 66),EASY,2269
☆12,Push on Beats!～音ゲの国のeX-ストリーマー～(ANOTHER),542,A74.15%(AA - 129),EASY,2619
☆12,QQQ(HYPER),1003,AA78.68%(AA + 24),HARD,2118
☆12,Quakes(ANOTHER),402,AA78.83%(AA + 33),CLEAR,2543
☆12,QUANTUM TELEPORTATION(ANOTHER),1218,C55.0%(B - 23),FAILED,2199
☆12,QUANTUM TELEPORTATION(LEGGENDARIA),802,A68.38%(A + 62),FAILED,2496
☆12,quasar(ANOTHER),1560,B62.61%(A - 127),FAILED,1956
☆12,quaver♪(ANOTHER),853,A75.56%(AA - 84),EASY,2832
☆12,quell～the seventh slave～(ANOTHER),765,B60.47%(B + 172),FAILED,2119
☆12,ra'am(ANOTHER),,,,0
☆12,rage against usual(LEGGENDARIA),395,AA77.82%(AA + 1),EASY,2590
☆12,RAGE feat.H14 of LEONAIR(ANOTHER),,,,0
☆12,RAIN(ANOTHER),1239,A68.4%(A + 61),EASY,2401
☆12,rainbow guitar weeps(ANOTHER),1437,A70.86%(A + 141),EASY,2385
☆12,Raison d'etre～交差する宿命～(ANOTHER),1608,A68.95%(A + 84),EASY,2532
☆12,Rampage(ANOTHER),476,AAA90.32%(AAA + 56),HARD,3582
☆12,Raspberry Railgun(ANOTHER),683,AA81.85%(AA + 137),HARD,2773
☆12,Rave Cannon(ANOTHER),1181,AA77.8%(AA + 0),HARD,2485
☆12,Rave Patroller(ANOTHER),826,AA82.42%(AA + 154),HARD,2748
☆12,Rave*it!! Rave*it!!(ANOTHER),767,AA87.02%(AAA - 54),HARD,2494
☆12,RED ZONE(LEGGENDARIA),961,AA78.73%(AA + 28),HARD,2365
☆12,Red. by Full Metal Jacket(ANOTHER),1122,AA81.43%(AA + 114),HARD,2547
☆12,Red. by Jack Trance(ANOTHER),767,A73.67%(AA - 133),EASY,2375
☆12,Reflux(ANOTHER),1056,A71.74%(A + 171),EASY,2429
☆12,refrain(ANOTHER),898,A69.99%(A + 123),EASY,2598
☆12,reunion(ANOTHER),845,A73.16%(AA - 175),FAILED,2770
☆12,REVOLVER(LEGGENDARIA),,,,0
☆12,RINNE(ANOTHER),509,A75.83%(AA - 69),FAILED,2680
☆12,RISLIM -Remix-(ANOTHER),935,AA78.71%(AA + 21),EASY,1812
☆12,RIZING YOU UP(ANOTHER),1182,AA81.82%(AA + 135),EASY,2749
☆12,route 80s(ANOTHER),746,AA79.06%(AA + 23),EASY,1423
☆12,Rubrum Piano(ANOTHER),323,AA84.69%(AAA - 105),HARD,2107
